,slidename,scanname,roilabel,segmentlabel,sample_id,aoisurfacearea,aoinucleicount,roicoordinatex,roicoordinatey,rawreads,trimmedreads,stitchedreads,alignedreads,deduplicatedreads,sequencingsaturation,umiq30,rtsq30,disease_status,pathology,region,loq,normalizationfactor,roireportx,roireporty,idx,region_exact,ct_deconv_b cell,ct_deconv_cd8 t cell,ct_deconv_dc,ct_deconv_distal_tubules_and_collecting_duct,ct_deconv_endothelium,ct_deconv_loop_of_henle,ct_deconv_mnp,ct_deconv_mast cell,ct_deconv_mesangial_cells,ct_deconv_nk cell,ct_deconv_nkt cell,ct_deconv_nephron_epithelium,ct_deconv_neutrophil,ct_deconv_podocytes,ct_deconv_private,ct_deconv_proximal_tubular_cells,ct_deconv_th cell,x_2d_umap,y_2d_umap,x_3d_umap,y_3d_umap,barcode,image_file_name
normal3_scan | 039 | Geometric Segment,normal3,normal3_scan,39,Geometric Segment,DSP-1001250007864-D-D10,18153.22303,83,4518,-27724,2694606,2673795,2653072,2539445,187903,93.02669852,0.9945,0.9937,normal,healthy,glomerulus,13.69818418,1.436417456,761,-6895,110,glomerulus,0,0,0.057520342,0.114671071,9.431311875,0.444096707,0,0,4.20272196,0.258500081,0,1.053880141,0,3.961824065,0,0,0,16.52139,3.2307875,16.393051,-0.85028714,normal3_scan | 039 | Geometric Segment,normal3_scan - 039
normal3_scan | 040 | Geometric Segment,normal3,normal3_scan,40,Geometric Segment,DSP-1001250007864-D-D11,20003.46841,100,5053,-33671,2169174,2150099,2130766,2036028,150244,93.07367689,0.9941,0.9934,normal,healthy,glomerulus,10.03756511,1.915223274,899,-8385,111,glomerulus,0,0,0,0,9.015019209,1.180357616,0.014840697,0,6.00596132,0.163639328,0,0.500022652,0,5.862577767,0,0,0,17.821556,3.1853206,16.44421,-0.045634758,normal3_scan | 040 | Geometric Segment,normal3_scan - 040
normal3_scan | 041 | Geometric Segment,normal3,normal3_scan,41,Geometric Segment,DSP-1001250007864-D-D12,30229.28162,142,23322,-27308,2573933,2550994,2532564,2428699,253115,90.16621645,0.9939,0.9933,normal,healthy,glomerulus,13.95940542,1.149133965,5465,-6793,112,glomerulus,0,0,0,0,10.50944066,1.193675065,0,0.00085986,5.612837568,0.108471933,0,1.572983019,0,7.195006457,0,0,0,18.48617,2.3156362,16.01478,-0.2678043,normal3_scan | 041 | Geometric Segment,normal3_scan - 041
normal3_scan | 042 | Geometric Segment,normal3,normal3_scan,42,Geometric Segment,DSP-1001250007864-D-E01,36097.13353,185,13050,-44688,4101266,4069525,4037299,3867124,311627,92.40168767,0.9947,0.994,normal,healthy,glomerulus,19.88541422,0.957611637,2893,-11142,113,glomerulus,0,0,0,0.154250429,10.48901523,0.318968571,0.300641822,0,6.667841555,0.22397059,0,1.686839154,0,6.569012998,0,0,0,18.230293,4.444075,16.420666,1.2023063,normal3_scan | 042 | Geometric Segment,normal3_scan - 042
normal3_scan | 043 | Geometric Segment,normal3,normal3_scan,43,Geometric Segment,DSP-1001250007864-D-E02,22703.06761,110,14276,-41235,2280071,2259721,2242155,2153071,188025,91.75354627,0.9941,0.9934,normal,healthy,glomerulus,13.34449371,1.436417456,3204,-10276,114,glomerulus,0,0,0.151069672,0.215077177,7.880278821,1.448251065,0.103541596,0.003937981,6.317272446,0.583832108,0,1.547654407,0,4.221363672,0,0.13959587,0,16.96253,3.3759656,16.224667,-0.55428606,normal3_scan | 043 | Geometric Segment,normal3_scan - 043
normal3_scan | 044 | Geometric Segment,normal3,normal3_scan,44,Geometric Segment,DSP-1001250007864-D-E03,30029.652,134,16222,-42524,2471902,2451010,2431557,2332324,221699,91.03123829,0.9941,0.9934,normal,healthy,glomerulus,13.86806737,1.231214962,3686,-10592,115,glomerulus,0,0,0,0,8.166214831,1.10793532,0.039235704,0.011810158,4.749814414,0.3632147,0,1.881416447,0,6.840070037,0,0.029157785,0,16.744978,3.0886512,16.460194,-0.6020005,normal3_scan | 044 | Geometric Segment,normal3_scan - 044
normal3_scan | 045 | Geometric Segment,normal3,normal3_scan,45,Geometric Segment,DSP-1001250007864-D-E04,12920.73232,65,9539,-30246,1517107,1505610,1494719,1426423,136671,90.99134076,0.9946,0.9939,normal,healthy,glomerulus,10.48135707,1.915223274,2019,-7531,116,glomerulus,0,0,0,0.003555002,7.133327719,1.652251865,0.572584742,0.004853317,5.074165805,0.229840917,0,1.473967619,0,4.055598833,0,0,0,16.660564,2.674734,16.20871,-1.0537193,normal3_scan | 045 | Geometric Segment,normal3_scan - 045
normal3_scan | 046 | Geometric Segment,normal3,normal3_scan,46,Geometric Segment,DSP-1001250007864-D-E05,17744.60364,91,3560,-31831,1551478,1539659,1527825,1465688,170353,89.01995388,0.9946,0.9939,normal,healthy,glomerulus,12.7397651,1.723700947,523,-7926,117,glomerulus,0,0,0.068480667,0,8.101018888,0,0,0,4.574709953,0.077523453,0,0.821387681,0,5.656816288,0,0,0,17.199331,4.2276063,16.356508,0.4785404,normal3_scan | 046 | Geometric Segment,normal3_scan - 046
normal3_scan | 047 | Geometric Segment,normal3,normal3_scan,47,Geometric Segment,DSP-1001250007864-D-E06,38272.72515,163,14102,-30847,4749215,4710174,4673972,4475932,395802,91.665949,0.9941,0.9934,normal,healthy,glomerulus,20.74668867,0.749435194,3160,-7680,118,glomerulus,0.398362834,0,0.006125482,0,11.01852377,1.56778927,0.312242498,0.001221339,6.222294489,0.317339274,0,1.733956292,0,4.699885888,0,0,0,18.365131,5.0538025,16.114252,1.7097728,normal3_scan | 047 | Geometric Segment,normal3_scan - 047
normal3_scan | 048 | Geometric Segment,normal3,normal3_scan,48,Geometric Segment,DSP-1001250007864-D-E07,34006.59025,187,14874,-30848,4186131,4154397,4121323,3947680,344632,91.76729061,0.9948,0.9941,normal,abnormal,glomerulus,16.66678032,0.820809975,3352,-7677,119,glomerulus,0.295753452,0,0,0,11.55922587,1.871900392,0.100511364,0,7.887520747,0.501946422,0,1.213189322,0,5.424825256,0,0,0,18.892332,2.802141,16.13444,0.16780916,normal3_scan | 048 | Geometric Segment,normal3_scan - 048
normal3_scan | 049 | Geometric Segment,normal3,normal3_scan,49,Geometric Segment,DSP-1001250007864-D-E08,28535.89961,166,17730,-28159,3990878,3961803,3931534,3767879,309531,92.24403753,0.9948,0.994,normal,abnormal,glomerulus,17.50212247,0.907211025,4061,-7004,120,glomerulus,0.427184656,0,0.093517094,0,9.354535826,1.249332744,0.307323786,0.010267483,9.071479388,0.46751751,0,2.312694809,0,3.912195691,0,0,0,17.064873,3.9931424,16.336788,0.111700445,normal3_scan | 049 | Geometric Segment,normal3_scan - 049
normal3_scan | 050 | Geometric Segment,normal3,normal3_scan,50,Geometric Segment,DSP-1001250007864-D-E09,23919.727,113,27779,-17171,2739262,2715351,2693551,2587246,226011,91.74920106,0.9941,0.9933,normal,healthy,glomerulus,14.0886247,1.231214962,6577,-4255,121,glomerulus,0,0,0,0,11.81535669,1.409042825,0,0.001094344,6.178619028,0.226538625,0,1.101133728,0,6.564530371,0,0,0,18.15314,1.7274066,15.651364,-1.0238981,normal3_scan | 050 | Geometric Segment,normal3_scan - 050
normal3_scan | 051 | Geometric Segment,normal3,normal3_scan,51,Geometric Segment,DSP-1001250007864-D-E10,22439.69208,102,29086,-7256,2469185,2448375,2427614,2332333,213441,91.35581174,0.9942,0.9935,normal,healthy,glomerulus,13.2637695,1.325923805,6905,-1782,122,glomerulus,0,0,0.056192095,0,11.40040893,1.246122778,0.169486686,0.003979263,5.295441275,0.5079594,0,2.097733605,0,5.901921449,0,0.404486847,0,17.850803,2.5036693,15.775303,-0.341636,normal3_scan | 051 | Geometric Segment,normal3_scan - 051
normal3_scan | 052 | Geometric Segment,normal3,normal3_scan,52,Geometric Segment,DSP-1001250007864-D-E11,20066.08466,108,29158,-10334,1998257,1979844,1962285,1884985,164431,91.77127867,0.9938,0.9928,normal,healthy,glomerulus,9.558360488,1.723700947,6822,-2549,123,glomerulus,0,0,0,0,9.228580097,2.816271748,0.378183732,0.00269714,7.413917178,0.41624542,0,1.810494417,0,5.842769717,0,0.611805492,0,17.570292,1.3573866,15.5483,-1.5268767,normal3_scan | 052 | Geometric Segment,normal3_scan - 052
normal3_scan | 053 | Geometric Segment,normal3,normal3_scan,53,Geometric Segment,DSP-1001250007864-D-E12,23067.79108,104,23829,-6974,2253194,2235114,2213155,2122825,203898,90.95071263,0.9945,0.9938,normal,healthy,glomerulus,13.58681296,1.325923805,5589,-1705,124,glomerulus,0,0,0.108318035,0.14137086,9.526883949,1.649391114,0.27002743,0,6.443205126,0.198719691,0,1.369912757,0,4.977597071,0,0,0,17.017273,2.138974,15.97063,-1.3045946,normal3_scan | 053 | Geometric Segment,normal3_scan - 053
normal3_scan | 054 | Geometric Segment,normal3,normal3_scan,54,Geometric Segment,DSP-1001250007864-D-F01,33416.57742,162,18051,-36767,5029999,4994725,4958856,4755604,331347,93.41258318,0.9947,0.994,normal,healthy,glomerulus,19.06703919,0.861850473,4145,-9163,125,glomerulus,0,0,0.075704366,0.244730008,10.75363593,2.574527566,0.351607512,0.01241528,7.622923147,0.478112013,0,1.740543348,0,4.266964855,0,0,0,17.858488,4.091083,16.375475,0.8019881,normal3_scan | 054 | Geometric Segment,normal3_scan - 054
disease4_scan | 001 | PanCK,disease4,disease4_scan,1,PanCK,DSP-1001250007851-H-E01,23053.26669,155,25496,-45188,3466160,3433496,3406559,3262250,330250,90.47216516,0.9936,0.9928,DKD,,tubule,17.16149459,0.957611637,4472,-10347,47,distal tubule,0,0,0.11023018,17.18635445,1.077706227,6.305215087,0.136495322,0.005774565,1.390719442,0.20748382,0,1.265024602,0,0,0,0,0,3.3222835,-6.416006,10.33347,1.1038115,disease4_scan | 001 | PanCK,disease4_scan - 001 - PanCK
disease4_scan | 001 | neg,disease4,disease4_scan,1,neg,DSP-1001250007851-H-E02,137927.2803,426,25496,-45188,15930693,15798541,15665879,14880916,1404059,91.18645372,0.9948,0.9941,DKD,,tubule,62.84436179,0.226802756,4472,-10347,48,proximal tubule,0,0,0.148169557,3.325145637,2.558735593,4.416561205,0.98845478,0,2.289585055,0.007168928,0,0.458376888,0,0,0,3.739820768,0,0.7343888,1.7396631,6.2527943,9.252465,disease4_scan | 001 | neg,disease4_scan - 001 - neg
disease4_scan | 002 | PanCK,disease4,disease4_scan,2,PanCK,DSP-1001250007851-H-E03,17553.52728,108,23402,-51249,3060563,3034382,3009966,2877343,299829,90.2034691,0.9944,0.9936,DKD,,tubule,14.96296787,1.077313092,3952,-11847,49,distal tubule,0,0,0.338651956,17.16052436,0.662705653,5.448648718,0,0,2.525199413,0.279443867,0,0.223743299,0,0,0,0,0,3.7415574,-6.5690217,10.526738,1.0596682,disease4_scan | 002 | PanCK,disease4_scan - 002 - PanCK
disease4_scan | 002 | neg,disease4,disease4_scan,2,neg,DSP-1001250007851-H-E04,123467.4473,403,23402,-51249,8112055,8041913,7978476,7582256,934471,88.48046518,0.9944,0.9937,DKD,,tubule,46.38905021,0.331480951,3952,-11847,50,proximal tubule,0,0,0.248079282,2.288666918,1.80113679,5.728279884,0.165081118,0,2.101191041,0.263381247,0,0.135557166,0.090716842,0,0,2.264272183,0,1.1977005,2.2903855,6.839539,9.115524,disease4_scan | 002 | neg,disease4_scan - 002 - neg
disease4_scan | 003 | PanCK,disease4,disease4_scan,3,PanCK,DSP-1001250007851-H-E05,22011.86822,204,34558,-42808,4086853,4057917,4028501,3845688,348249,91.47879799,0.9948,0.9941,DKD,,tubule,19.3542892,0.820809975,6742,-9740,51,distal tubule,0.015930066,0,0.250770722,5.610221534,1.236771186,15.11712496,0.090837207,0,1.723582186,0.596269221,0,0.679196937,0,0,0,0,0,4.9067454,-5.385332,9.571725,2.0158868,disease4_scan | 003 | PanCK,disease4_scan - 003 - PanCK
disease4_scan | 003 | neg,disease4,disease4_scan,3,neg,DSP-1001250007851-H-E06,209925.6296,590,34558,-42808,13768154,13667392,13567220,12893478,1237730,91.01019643,0.995,0.9943,DKD,,tubule,60.71589678,0.257268798,6742,-9740,52,proximal tubule,0.247224813,0,0.186101167,0.260692357,2.067460348,4.967274478,0.724135236,0.008562587,2.462819773,0.274441836,0,0.266085182,0,0,0,5.702520132,0,-0.014553778,1.2156421,5.4713044,9.443322,disease4_scan | 003 | neg,disease4_scan - 003 - neg
disease4_scan | 004 | PanCK,disease4,disease4_scan,4,PanCK,DSP-1001250007851-H-E07,17157.17292,134,24087,-28215,2662038,2640193,2618942,2495772,253064,90.49359926,0.9945,0.9938,DKD,,tubule,16.41249321,1.149133965,4126,-6091,53,distal tubule,0.041195153,0,0.135577695,14.45950238,0.858278628,3.407188945,0,0,1.668584116,0.124626939,0,0,0,0,0.000326863,0,0,4.0432787,-5.9918003,10.243549,1.621871,disease4_scan | 004 | PanCK,disease4_scan - 004 - PanCK
disease4_scan | 004 | neg,disease4,disease4_scan,4,neg,DSP-1001250007851-H-E08,145616.813,353,24087,-28215,9456874,9387441,9319693,8855099,889919,90.58971284,0.9948,0.9941,DKD,,tubule,52.03046455,0.337980578,4126,-6091,54,proximal tubule,0.113646748,0,0.25791115,1.251772926,2.172794792,3.229133268,0.207794901,0,2.00527897,0.326625936,0,0.193342773,0,0,0,0.387468794,0,1.3807714,3.1723454,7.5736456,9.293012,disease4_scan | 004 | neg,disease4_scan - 004 - neg
disease4_scan | 005 | PanCK,disease4,disease4_scan,5,PanCK,DSP-1001250007851-H-E09,10254.21645,84,24160,-16457,1177532,1166366,1157185,1103670,121849,89.65217081,0.9939,0.9932,DKD,,tubule,9.669601163,2.154626183,4153,-3159,55,distal tubule,0.308197464,0,0.131373126,0.067983307,1.619919798,15.44989626,0,0.002903513,2.088421631,0.112417243,0,0.593243492,0,0,0,0.224300115,0,5.037331,-5.263134,9.337316,2.2124925,disease4_scan | 005 | PanCK,disease4_scan - 005 - PanCK
disease4_scan | 005 | neg,disease4,disease4_scan,5,neg,DSP-1001250007851-H-E10,105417.6701,335,24160,-16457,4885075,4824665,4779769,4550728,527242,89.20708485,0.9926,0.9913,DKD,,tubule,27.26219266,0.574566982,4153,-3159,56,proximal tubule,0.183874928,0,0.231670176,0,3.670563569,4.843877846,0.7253379,0.009713145,4.754970988,0.618608382,0,0.001742042,0,0,0.115924568,1.246282309,0,1.2074888,3.2955666,7.6960535,9.213276,disease4_scan | 005 | neg,disease4_scan - 005 - neg
disease4_scan | 006 | PanCK,disease4,disease4_scan,6,PanCK,DSP-1001250007851-H-E11,34076.46868,206,37293,-36082,5126797,5087429,5048039,4841395,427425,91.66292326,0.9946,0.9939,DKD,,tubule,19.35880909,0.689480379,7418,-8073,57,distal tubule,0.172350384,0,0.332728725,3.106630118,1.220630759,15.52509715,0.034296891,0,2.063789601,0,0,1.173550104,0,0,0,0,0,4.7380724,-5.55174,9.495768,2.1443672,disease4_scan | 006 | PanCK,disease4_scan - 006 - PanCK
disease4_scan | 006 | neg,disease4,disease4_scan,6,neg,DSP-1001250007851-H-E12,137743.3048,391,37293,-36082,5959545,5915995,5873279,5613940,586861,90.15258715,0.9948,0.9941,DKD,,tubule,31.4385,0.506970867,7418,-8073,58,proximal tubule,0.125873328,0,0.239227242,0,3.039256507,4.498913241,1.867651616,0.010479682,5.494439402,0.296158496,0,0.101817824,0,0,0.150662691,1.151351462,0,1.0764197,2.7813826,7.4388056,9.0948925,disease4_scan | 006 | neg,disease4_scan - 006 - neg
disease4_scan | 007 | Geometric Segment,disease4,disease4_scan,7,Geometric Segment,DSP-1001250007851-H-F01,74627.74722,326,30294,-55255,6428345,6379305,6330820,6024493,556641,91.340835,0.9947,0.994,DKD,healthy,glomerulus,35.56779819,0.538656546,5675,-12868,59,glomerulus,0,0,0.123796529,0.243608691,2.618026974,1.539408652,0.358008894,0.006548405,1.701808726,0.493614204,0,0.773943859,0.039295054,2.021663934,0,0,0,2.684378,5.159234,8.860651,9.942138,disease4_scan | 007 | Geometric Segment,disease4_scan - 007
disease4_scan | 008 | Geometric Segment,disease4,disease4_scan,8,Geometric Segment,DSP-1001250007851-H-F02,56775.66312,203,32113,-37448,4785984,4741095,4704084,4505398,479714,89.97669027,0.9937,0.9929,DKD,healthy,glomerulus,28.01603924,0.615607481,6130,-8408,60,glomerulus,0.337867146,0,0.069316654,0.045068208,5.133356562,1.999121947,0.504485952,0.001494792,2.787847061,0.577501072,0,0.845673074,0.017314571,2.427092754,0,0,0,3.286558,5.0432224,8.720328,10.584309,disease4_scan | 008 | Geometric Segment,disease4_scan - 008
disease4_scan | 009 | Geometric Segment,disease4,disease4_scan,9,Geometric Segment,DSP-1001250007851-H-F03,80786.89375,266,31184,-21668,5424391,5375860,5331459,5113977,488508,90.99423327,0.9941,0.9934,DKD,healthy,glomerulus,31.54903054,0.594379637,5900,-4461,61,glomerulus,0,0,0.073668454,0.085370665,3.381008197,1.043612305,0.404668329,0,2.175957094,0.520692536,0,0.556042175,0,1.045234002,0.004152302,0,0,2.79968,5.195123,8.635088,10.238419,disease4_scan | 009 | Geometric Segment,disease4_scan - 009
disease4_scan | 010 | Geometric Segment,disease4,disease4_scan,10,Geometric Segment,DSP-1001250007851-H-F04,42607.60882,189,38045,-51375,2636446,2610523,2587230,2471812,255288,90.31696458,0.9936,0.9925,DKD,healthy,glomerulus,17.97602465,1.077313092,7615,-11885,62,glomerulus,0,0,0.0962732,0,3.154786435,2.031773144,0.435657846,0,2.561056162,0.868561819,0,0.438837469,0.010973633,2.081702112,0,0,0,3.8869076,5.4969754,9.304004,10.90216,disease4_scan | 010 | Geometric Segment,disease4_scan - 010
disease4_scan | 011 | Geometric Segment,disease4,disease4_scan,11,Geometric Segment,DSP-1001250007851-H-F05,71246.79294,315,37198,-48387,5634059,5580216,5534892,5292954,518355,90.79961711,0.9937,0.9931,DKD,healthy,glomerulus,30.79620366,0.556032563,7412,-11139,63,glomerulus,0,0,0.152224842,0.052052972,3.060565123,1.268799093,0.113069244,0,2.756564104,0.516915295,0,0.471461113,0.049238257,2.753154545,0.01893883,0,0,3.2457132,5.342026,9.061331,10.700441,disease4_scan | 011 | Geometric Segment,disease4_scan - 011
disease4_scan | 012 | Geometric Segment,disease4,disease4_scan,12,Geometric Segment,DSP-1001250007851-H-F06,48856.64516,182,28543,-44836,5370062,5332353,5291452,5061073,475680,91.14200171,0.995,0.9943,DKD,healthy,glomerulus,28.55064829,0.615607481,5245,-10250,64,glomerulus,0.062872776,0,0.114485381,0,6.259371703,1.719941797,0.655424532,0.003363933,4.131581586,0.401027603,0,0.981020326,0.246824937,2.481811296,0,0,0,3.821155,4.8541064,8.749531,10.906413,disease4_scan | 012 | Geometric Segment,disease4_scan - 012
disease4_scan | 013 | Geometric Segment,disease4,disease4_scan,13,Geometric Segment,DSP-1001250007851-H-F07,65511.43571,289,37243,-45780,6839271,6776665,6725069,6427451,594568,91.30655884,0.9939,0.9932,DKD,abnormal,glomerulus,32.9355871,0.506970867,7409,-10489,65,glomerulus,0,0,0.18783814,0,4.65660904,2.449098784,0.879125825,0.002468649,4.488944894,0.680290251,0,0.578275291,0.291816409,2.518369851,0,0,0,3.8006392,4.6932597,8.556552,10.764217,disease4_scan | 013 | Geometric Segment,disease4_scan - 013
disease4_scan | 014 | Geometric Segment,disease4,disease4_scan,14,Geometric Segment,DSP-1001250007851-H-F08,19972.48306,86,32810,-38637,694121,688778,683752,653538,183294,73.59336485,0.9943,0.9936,DKD,abnormal,glomerulus,12.75770265,1.567000861,6305,-8709,66,glomerulus,0,0,0.177503067,0,5.233924358,3.559605566,0.673848303,0,5.881558341,0.131006945,0,1.765422657,0.231095023,2.626431283,0.25740109,0,0,4.927427,10.205208,11.882619,11.547131,disease4_scan | 014 | Geometric Segment,disease4_scan - 014
disease4_scan | 015 | Geometric Segment,disease4,disease4_scan,15,Geometric Segment,DSP-1001250007851-H-F09,44778.52036,171,23277,-33551,5665702,5622366,5581926,5342972,465787,91.77882988,0.9944,0.9937,DKD,abnormal,glomerulus,30.60494841,0.615607481,3924,-7429,67,glomerulus,0,0,0.095110629,0.664600271,3.204909946,1.854053306,0.292116149,0.005484878,2.769582886,0.230369388,0,0.583337408,0,2.030060147,0.018975225,0,0,3.4234788,5.162968,8.937085,10.745002,disease4_scan | 015 | Geometric Segment,disease4_scan - 015
disease4_scan | 016 | Geometric Segment,disease4,disease4_scan,16,Geometric Segment,DSP-1001250007851-H-F10,20051.72165,111,33941,-49525,1673124,1656199,1642341,1565703,162178,90.30687504,0.9937,0.993,DKD,abnormal,glomerulus,12.70730986,1.723700947,6587,-11428,68,glomerulus,0,0.299930381,0.058744646,0.169023901,2.467841327,2.026557106,0.085990096,0,5.194548789,0.911129884,0,0.67999769,0.562666955,1.035571481,0,0,0,3.6736796,5.9078627,9.347787,10.996867,disease4_scan | 016 | Geometric Segment,disease4_scan - 016
disease4_scan | 017 | Geometric Segment,disease4,disease4_scan,17,Geometric Segment,DSP-1001250007851-H-F11,51298.35581,187,34923,-51488,4905523,4859249,4817956,4598182,321811,93.43982283,0.9938,0.993,DKD,abnormal,glomerulus,24.49909315,0.861850473,6831,-11915,69,glomerulus,0,0,0.142382721,0.008912821,2.678930954,1.883994434,0.350459405,3.24E-06,1.960200604,0.522255072,0,0.27363562,0,1.570234112,0.03034769,0,0,3.419183,5.5644298,8.97637,10.620509,disease4_scan | 017 | Geometric Segment,disease4_scan - 017
disease4_scan | 018 | Geometric Segment,disease4,disease4_scan,18,Geometric Segment,DSP-1001250007851-H-F12,29210.7994,107,26189,-10603,1681321,1667084,1654091,1586748,151572,90.98494577,0.9941,0.9933,DKD,abnormal,glomerulus,12.11333866,1.915223274,4648,-1695,70,glomerulus,0.000936344,0,0,0,5.676187655,1.072138998,0.359335554,0,7.546229792,0.311280623,0,0.745441264,0.559338089,2.745817353,0,0,0,4.579716,9.936238,11.574946,11.537532,disease4_scan | 018 | Geometric Segment,disease4_scan - 018
normal4_scan | 001 | PanCK,normal4,normal4_scan,1,PanCK,DSP-1001250007864-D-F02,16012.16717,93,22582,-39093,6251698,6205656,6157024,5867329,417352,93.32418169,0.995,0.9943,normal,,tubule,19.36477906,0.718208728,3950,-8795,126,distal tubule,0,0,0.012252761,16.62211142,0.812712914,7.469804831,0.151263542,0,0.340815114,0,0,0,0,0,0,0,0,4.440428,-6.2871885,10.441532,2.0666351,normal4_scan | 001 | PanCK,normal4_scan - 001 - PanCK
normal4_scan | 001 | neg,normal4,normal4_scan,1,neg,DSP-1001250007864-D-F03,127197.9551,480,22582,-39093,19813329,19625823,19467559,18178417,1935040,90.23364524,0.994,0.9932,normal,,tubule,78.44981044,0.162613297,3950,-8795,127,proximal tubule,0,0,0.133530245,0.786675438,1.582540487,8.63688659,0,0,1.20923959,0.268023917,0,0.564891263,0,0,0,7.950564249,0,0.23319738,1.1609198,6.018873,9.470623,normal4_scan | 001 | neg,normal4_scan - 001 - neg
normal4_scan | 002 | PanCK,normal4,normal4_scan,2,PanCK,DSP-1001250007864-D-F04,24168.73953,187,19645,-36140,9101485,8965290,8883856,8491734,855893,90.59611701,0.9914,0.9904,normal,,tubule,29.67979675,0.366744882,3198,-8071,128,distal tubule,0,0,0.226779197,19.96831612,0.965141799,6.093310587,0,0.002688232,1.331133266,0,0,0.305201774,0,0,0,0,0,3.8255131,-6.640757,10.583093,1.4362113,normal4_scan | 002 | PanCK,normal4_scan - 002 - PanCK
normal4_scan | 002 | neg,normal4,normal4_scan,2,neg,DSP-1001250007864-D-F05,71727.7115,335,19645,-36140,8380653,8305957,8248127,7715172,704780,91.59039278,0.994,0.9933,normal,,tubule,34.5764225,0.441974602,3198,-8071,129,proximal tubule,0,0,0.25351693,3.23246318,1.686659299,10.14906308,0.102063529,0,1.734025231,0.359143589,0,0.298791666,0,0,0.044425438,2.127917238,0,0.9158756,2.0214686,6.576669,8.827621,normal4_scan | 002 | neg,normal4_scan - 002 - neg
normal4_scan | 003 | PanCK,normal4,normal4_scan,3,PanCK,DSP-1001250007864-D-F06,34576.91447,218,11637,-38508,7612577,7550753,7493903,7097388,502506,93.39900273,0.9944,0.9936,normal,,tubule,20.02472082,0.594379637,1204,-8699,130,distal tubule,0,0,0.074202952,22.11543489,0.717142968,7.505521075,0,0.002310183,0.932792638,0.258111154,0,0.101349198,0,0,0,0,0,4.3101892,-6.3837376,10.540571,1.9977626,normal4_scan | 003 | PanCK,normal4_scan - 003 - PanCK
normal4_scan | 003 | neg,normal4,normal4_scan,3,neg,DSP-1001250007864-D-F07,91677.76245,329,11637,-38508,10865041,10766019,10684311,9802633,684410,93.7008061,0.994,0.9931,normal,,tubule,33.43555322,0.453605512,1204,-8699,131,proximal tubule,0,0,0.129865646,2.954431524,1.887868097,6.798536731,0.15140639,0.012855824,1.974435871,0.641719428,0,0.317655608,0,0,0.024831928,2.162501579,0,0.62708515,2.8230383,7.312263,8.468718,normal4_scan | 003 | neg,normal4_scan - 003 - neg
normal4_scan | 004 | PanCK,normal4,normal4_scan,4,PanCK,DSP-1001250007864-D-F08,29351.52456,213,35178,-30990,5904858,5855770,5807468,5510965,395800,93.29704457,0.9944,0.9937,normal,,tubule,16.32204918,0.820809975,7099,-6776,132,distal tubule,0,0,0,20.96813278,1.197684438,4.188202364,0,0,1.234235395,0.222249303,0,0.107162744,0,0,0,0,0,3.7206504,-6.476835,10.443115,1.4737442,normal4_scan | 004 | PanCK,normal4_scan - 004 - PanCK
normal4_scan | 004 | neg,normal4,normal4_scan,4,neg,DSP-1001250007864-D-F09,85295.10175,352,35178,-30990,11524627,11428134,11341633,10352570,739236,93.58559717,0.9947,0.994,normal,,tubule,37.85988213,0.430925237,7099,-6776,133,proximal tubule,0.302765084,0,0.192194052,1.901984719,2.124279456,6.552214489,0.073163394,0,1.253108401,0.465860026,0,0.148356297,0,0,0,2.795924603,0,0.8625388,2.3172734,7.0347247,8.851215,normal4_scan | 004 | neg,normal4_scan - 004 - neg
normal4_scan | 005 | PanCK,normal4,normal4_scan,5,PanCK,DSP-1001250007864-D-F10,12287.30771,84,27892,-19058,5365533,5321402,5279107,5018627,428839,92.00752283,0.9944,0.9937,normal,,tubule,19.45201558,0.718208728,5270,-3809,134,distal tubule,0,0,0.007196574,22.5106002,0.861177843,3.279938846,0,0,0.919592194,0,0,0.008891891,0,0,0,0,0,4.387149,-6.714339,10.77926,1.8959044,normal4_scan | 005 | PanCK,normal4_scan - 005 - PanCK
normal4_scan | 005 | neg,normal4,normal4_scan,5,neg,DSP-1001250007864-D-F11,90680.2599,423,27892,-19058,19040530,18894043,18758955,17432266,1321072,93.06178977,0.9946,0.9939,normal,,tubule,55.37530843,0.239402909,5270,-3809,135,proximal tubule,0.021334202,0,0.104547243,1.733995959,1.588107825,11.94062462,0.040885431,0,1.956735175,0.285176762,0,0.240842792,0,0,0,2.849295598,0,0.6213139,2.044526,6.7351227,8.770718,normal4_scan | 005 | neg,normal4_scan - 005 - neg
normal4_scan | 006 | PanCK,normal4,normal4_scan,6,PanCK,DSP-1001250007864-D-F12,19644.71608,114,28852,-33549,4372475,4323876,4277949,4063290,412062,90.57600101,0.9933,0.9926,normal,,tubule,19.71538084,0.78350043,5517,-7424,136,distal tubule,0,0,0.190830615,22.43769987,1.192187653,4.126376146,0.052775474,0.0065376,1.382046029,0.02322121,0,0,0,0,0,0,0,3.5285292,-6.7418346,10.220996,1.0141641,normal4_scan | 006 | PanCK,normal4_scan - 006 - PanCK
